skill_version,n,success_rate,avg_score,fact_recall,format_score,hallucination_free,avg_latency_s,avg_tokens,hallucination_rate
v1_baseline,6,0.0,75.0,100.0,0.0,100.0,4.979063590367635,1424.3333333333333,0.0
v2_format,6,66.66666666666666,88.15476190476191,84.52380952380952,100.0,83.33333333333334,5.341069300969441,1732.5,16.666666666666657
v3_grounded,6,83.33333333333334,93.125,87.5,100.0,100.0,3.976263443628947,1593.0,0.0
v4_review_ready,6,100.0,95.41666666666666,91.66666666666666,100.0,100.0,4.078262249628703,1683.8333333333333,0.0
